category,rank,brand,model,registrations_accumulated
COMERCIAIS LEVES,38,PEUGEOT,BOXER,243
AUTOMÓVEIS,39,RENAULT,KARDIAN,6270
COMERCIAIS LEVES,39,PEUGEOT,PARTNER,222
AUTOMÓVEIS,40,VW,TAOS,6191
COMERCIAIS LEVES,40,SHINERAY,TLUX,194
AUTOMÓVEIS,41,HONDA,CITY,5932
COMERCIAIS LEVES,41,FOTON,TUNLAND,194
AUTOMÓVEIS,42,CAOA CHERY,TIGGO 8,5773
COMERCIAIS LEVES,42,CITROEN,JUMPER,186
AUTOMÓVEIS,43,TOYOTA,HILUX SW4,5656
COMERCIAIS LEVES,43,EFFA,V22,181
AUTOMÓVEIS,44,CITROEN,C3,5634
COMERCIAIS LEVES,44,JAC,HUNTER,159
AUTOMÓVEIS,45,RENAULT,DUSTER,5240
COMERCIAIS LEVES,45,RAM,2500,125
AUTOMÓVEIS,46,HONDA,CITY HATCH,4894
COMERCIAIS LEVES,46,MITSUBISHI,L200,80
AUTOMÓVEIS,47,GWM,HAVAL H9,4866
COMERCIAIS LEVES,47,IVECO,DAILY 35-180,77
AUTOMÓVEIS,48,RENAULT,BOREAL,4775
COMERCIAIS LEVES,48,HYUNDAI,HR,75
AUTOMÓVEIS,49,FORD,TERRITORY,4096
COMERCIAIS LEVES,49,KIA,UK2500,51
AUTOMÓVEIS,50,PEUGEOT,2008,3773
COMERCIAIS LEVES,50,EFFA,V25,47
